time_s,phase,policy,spin_policy_loaded,x_m,y_m,trunk_z_m,forward_mps,lateral_mps,planar_speed_mps,jaw_z_m,head_pitch_rad,yaw_rate_radps,yaw_delta_deg,upright_score
0.66,settle,walking,True,-1.7908290339465516,-0.6494043708641429,0.12102167699365396,0.02109150440624951,0.0016351741640892967,0.02115479502774129,0.233474439205247,0.32620967698375714,-0.02289833429952254,0.7995519268666197,0.9987512230873108
0.68,settle,walking,True,-1.7904030467961034,-0.6493538574121621,0.12096465657075497,0.02166008619958136,0.0024015862249264987,0.02179281878438518,0.23340539230504181,0.3261605379261993,-0.023754233683230097,0.7700707400547284,0.9988529682159424
0.7000000000000001,settle,walking,True,-1.789961055688073,-0.6492980185706001,0.12091096935951808,0.022601783253419324,0.002498511314146217,0.02273946272499557,0.23333899863276064,0.3261101588238229,-0.021395505174092937,0.7417236394836233,0.9989547729492188
0.72,settle,walking,True,-1.7894951541213546,-0.6492388787558463,0.12085302428662219,0.023749205368895382,0.002809494649105127,0.023914807459758474,0.23326862376743784,0.32605899410138606,-0.021613615632053534,0.7161724255096864,0.9990570545196533
0.74,settle,walking,True,-1.789021890147296,-0.6491716878914291,0.12079205228921723,0.023789247556348526,0.003022838397240905,0.023980530671214684,0.2331942305838643,0.3260089220616422,-0.018080740663949924,0.6890327426720246,0.9991549253463745
0.76,settle,walking,True,-1.7885406631069496,-0.6490981825373713,0.12072955080428627,0.02444592308188555,0.003540537420754903,0.0247009829875904,0.23311614693063706,0.32595267272218736,-0.019847990917744727,0.6655945865601588,0.9992456436157227
0.78,settle,walking,True,-1.7880395478360895,-0.6490203307312099,0.12067321293081124,0.025631154276176942,0.0035859686582379187,0.025880789028680098,0.23304432596266433,0.3258784552106389,-0.02613291590947083,0.6352880569155467,0.9993290901184082
0.8,long_approach,walking,True,-1.787506117768405,-0.6489414267236377,0.12060888485501854,0.02754963697611207,0.0036213135462235977,0.0277866228483352,0.23296705849545063,0.3258016454834696,-0.03076134851743112,0.5990524596112746,0.9994086027145386
0.8200000000000001,long_approach,walking,True,-1.7869608555207694,-0.648863264115885,0.12054006125577098,0.027464484106918617,0.0035690356072481063,0.027695413021382984,0.23288260452177797,0.3257442448182823,-0.032973459165369264,0.5596472442875027,0.9994835257530212
0.84,long_approach,walking,True,-1.7863994238935823,-0.6487919892925355,0.12047785196708079,0.028613945210503585,0.003235569318287418,0.028796297840575687,0.23280047351334307,0.32569524702280267,-0.031578091360824616,0.5204759134709664,0.9995518922805786
0.86,long_approach,walking,True,-1.7858099291990028,-0.6487256030532623,0.12042080348130253,0.02991523202851371,0.00275378257795525,0.030041711432714054,0.23272589485534095,0.3256517270435324,-0.012469389125591595,0.49312566143982056,0.9996169209480286
0.88,long_approach,walking,True,-1.7852025990560618,-0.648680912370323,0.1203628725528475,0.030497110215211638,0.001551648262220278,0.030536557497668548,0.23265053297987945,0.32562214573600784,0.0230912225654212,0.5078931505812923,0.9996832609176636
0.9,long_approach,walking,True,-1.7845769717387454,-0.6486497479954707,0.12031852135411152,0.031877875485337645,0.0012679773650867267,0.03190308311209221,0.23258870151527575,0.32560664578563714,0.02213321934218941,0.5297848085720099,0.9997531175613403
0.92,long_approach,walking,True,-1.783918385636722,-0.6486223151733075,0.12028292392767558,0.03332504756531498,0.0007032299892966252,0.03333246657012277,0.2325370242617592,0.3256056651199152,0.02804064637138235,0.5524504979667059,0.9998219013214111
0.9400000000000001,long_approach,walking,True,-1.7832352101663473,-0.6486122285094003,0.12026890782277179,0.03482463401170373,9.122075520993757e-05,0.03482475348477421,0.23249523668310457,0.3256217920084486,0.020142910965070215,0.5749271449482327,0.9998769760131836
0.96,long_approach,walking,True,-1.7824932511906844,-0.6485972589035954,0.12029192535388274,0.03841973165338216,0.0003268953187842687,0.038421122327013536,0.23247886616708774,0.32565075202859184,0.01937494049634716,0.5914189654380778,0.9999032020568848
0.98,long_approach,walking,True,-1.7816882465754402,-0.6485998223132747,0.12035334218070937,0.0412658665406135,-0.00018545460196323134,0.04126628326802783,0.232474606146786,0.3258073189186501,0.05524931530267438,0.6328959828082662,0.9998853802680969
1.0,long_approach,walking,True,-1.7807196677193309,-0.6484382389873624,0.12034743853791298,0.05156908531573838,0.008382600680265624,0.05224594294743558,0.23241678124126272,0.32614919987450947,0.15965698428958647,0.7863901741168985,0.9997999668121338
1.02,long_approach,walking,True,-1.779663886271388,-0.6482344870231833,0.12037265081202683,0.0591591020680203,0.01654414187071498,0.06142888561363285,0.23237814952771035,0.3271675855618799,0.25570745278973506,0.9915144989248598,0.9996353387832642
1.04,long_approach,walking,True,-1.7785125496509129,-0.64798554694386,0.1204112556317499,0.05831198193926338,0.009993741908319118,0.059162167937078444,0.23229582948106006,0.3290970669413111,0.2032322727080094,1.2250914788400815,0.9993661046028137
1.06,long_approach,walking,True,-1.7772430868739781,-0.6476740082568512,0.12043762138566097,0.06390671153017057,0.011581952783302324,0.06494774367809154,0.2322400442481518,0.33169486477041865,0.21723840635641292,1.4934992040779995,0.9989850521087646
1.08,long_approach,walking,True,-1.7759204019771127,-0.6474019671066553,0.12049878448114003,0.07104643950189199,0.015474112667309687,0.07271206728416262,0.2322326893242434,0.33489566214361577,0.25381107183748186,1.7400722765994465,0.998499870300293
1.1,long_approach,walking,True,-1.7745095015361123,-0.6471491020025337,0.12057615385594467,0.07286268393082725,0.009106684510848331,0.07342957450771287,0.23220642731935928,0.3386234337621473,0.1933658747904124,1.9736088758763086,0.9979028701782227
1.12,long_approach,walking,True,-1.7729501470154077,-0.646858334678521,0.12060812768738101,0.08197034319178978,0.01137138140488797,0.08275533504273443,0.23215922921421217,0.3425658550260245,0.17263757565195514,2.187446966631634,0.9972082376480103
1.1400000000000001,long_approach,walking,True,-1.7713082538407174,-0.6467169333664359,0.12070121665802844,0.08390144459403252,0.001144545790633527,0.08390925092045791,0.23215716970517358,0.3467380415977503,0.09051779329246261,2.3144365820644213,0.9964677691459656
